"title","genre_count"
"The New Adventures of Pippi Longstocking","3"
"A Little Princess","3"
"Breaker! Breaker!","3"
"White Water Summer","3"
"White Sands","3"
"The Peanut Butter Solution","3"
"The Yards","3"
"The Hit","3"
"Lagaan: Once Upon a Time in India","3"
"The Blue Max","3"
"Baby: Secret of the Lost Legend","4"
"Revolutionary Girl Utena: The Movie","3"
"The Great Waldo Pepper","3"
"Flipper","3"
"The Brave Little Toaster","5"
"The Incredible Mr. Limpet","3"
"Knights of the Round Table","4"
"Care Bears Movie II: A New Generation","3"
"Pink Cadillac","3"
"Time of the Gypsies","3"
"The Eiger Sanction","4"
"Extreme Prejudice","3"
"Never Die Alone","4"
"Interstate 60","3"
"Make Mine Music","3"
"Grand Prix","3"
"Paint Your Wagon","3"
"Digimon: The Movie","3"
"Nightbreed","3"
"Catch That Kid","3"
"Code of Silence","3"
"The White Sun of the Desert","3"
"Shenandoah","3"
"Balto","3"
"Billy Jack","3"
"Fluke","3"
"Mobsters","3"
"Benji the Hunted","3"
"Quicksilver","3"
"Kirikou and the Sorceress","4"
"Andre","3"
"Rock & Rule","4"
"The Preacher's Wife","3"
"King of the Ants","3"
"The Chipmunk Adventure","3"
"Tank","3"
"Gator","3"
"Naqoyqatsi","3"
"Rolling Thunder","3"
"Super Fly","3"
"Like Mike","3"
"Coffy","4"
"Against All Odds","4"
"Boiling Point","4"
"In Too Deep","3"
"The Boys Next Door","3"
"The Big Combo","3"
"Kansas City","3"
"Gandahar","3"
"Time Masters","3"
"Inuyasha the Movie 2: The Castle Beyond the Looking Glass","4"
"Allegro non troppo","3"
"To Have and Have Not","3"
"Radioland Murders","3"
"Sidekicks","4"
"Little Nemo: Adventures In Slumberland","4"
"The Scarlet Pimpernel","3"
"Beat the Devil","4"
"The Big Bird Cage","3"
"Biggles","3"
"Jungle Book","4"
"The Pride and the Passion","3"
"The Warrior","4"
"Surf Ninjas","3"
"Wanted: Dead or Alive","3"
"Monkeybone","4"
"Across 110th Street","3"
"Paradise Alley","3"
"Captain Horatio Hornblower R.N.","3"
"Billabong Odyssey","3"
"Teacher's Pet","4"
"The Boy Who Could Fly","3"
"Sheena","3"
"The Man from Snowy River","3"
"Powaqqatsi","3"
"Into the Sun","3"
"Cats Don't Dance","3"
"Iron Will","3"
"Angels in the Outfield","3"
"The Memory Of A Killer","3"
"Death Wish 3","3"
"Prancer","3"
"The Wiz","4"
"Magic in the Water","4"
"Gunga Din","3"
"State Property","3"
"Homeward Bound II: Lost in San Francisco","3"
"Thunderbird 6","3"
"The Happiest Millionaire","3"
"Walking Tall","3"
"PTU","3"
"Hawk the Slayer","3"
"American Ninja 2: The Confrontation","3"
"American Ninja 3: Blood Hunt","3"
"A Christmas Carol","3"
"The Pirate Movie","4"
"Bob le Flambeur","3"
"Point Blank","3"
"Mean Guns","3"
"Hiding Out","4"
"Coogan's Bluff","3"
"Mr. Majestyk","3"
"Ivanhoe","3"
"Ash Wednesday","3"
"P�p� le Moko","3"
"Bushwhacked","4"
"Death Wish 4: The Crackdown","3"
"Harper","3"
"The Big Green","3"
"Performance","3"
"Brother Orchid","3"
"The Magic Sword","5"
"The Enforcer","3"
"Force of Evil","3"
"The Message","3"
"The Flight of Dragons","3"
"Operation Dumbo Drop","3"
"Charley Varrick","3"
"Brannigan","3"
"Next of Kin","3"
"Touchez Pas au Grisbi","3"
"Beastmaster 2: Through the Portal of Time","3"
"High Sierra","3"
"Little Caesar","3"
"Airport 1975","3"
"Far from Home: The Adventures of Yellow Dog","4"
"Thumbelina","4"
"Heidi","3"
